0	11084812
1	10061895
2	4793886
3	3322230
4	2584455
5	2117986
6	1778179
7	1508497
8	1302890
9	1115458
10	962121
11	836739
12	738738
13	657532
14	594077
15	542468
16	518438
17	486987
18	471024
19	847123
20	5677213
21	1811653
22	883836
23	611377
24	483026
25	405615
26	354380
27	318049
28	290731
29	281945
30	250110
31	233808
32	214132
33	200567
34	188888
35	179985
36	168973
37	160413
38	153290
39	146367
40	140038
41	132365
42	125414
43	120217
44	113764
45	110116
46	104666
47	100329
48	96244
49	92301
50	89382
51	85317
52	82204
53	79542
54	76777
55	74186
56	72125
57	69525
58	67371
59	65044
60	63031
61	60897
62	58564
63	56720
64	54942
65	53183
66	51187
67	50112
68	48115
69	47161
70	45828
71	44399
72	43256
73	41553
74	40710
75	39657
76	38673
77	37493
78	36557
79	35482
80	34832
81	33381
82	32751
83	31903
84	31106
85	30423
86	29665
87	29189
88	28609
89	28056
90	27081
91	26388
92	25719
93	25272
94	24593
95	24096
96	23489
97	23248
98	22925
99	22349
100	22046
101	21404
102	20852
103	20374
104	20023
105	19459
106	18964
107	18589
108	18125
109	17728
110	17463
111	17058
112	16622
113	16319
114	15997
115	15790
116	15487
117	15250
118	14938
119	14777
120	14523
121	14339
122	13936
123	13367
124	13204
125	12960
126	12784
127	12745
128	12670
129	12202
130	11986
131	11874
132	11480
133	11413
134	11277
135	11125
136	11144
137	10751
138	10509
139	10429
140	10102
141	9974
142	9861
143	9783
144	9546
145	9475
146	9560
147	9252
148	9055
149	8856
150	8809
151	8550
152	8339
153	8300
154	8127
155	8122
156	8007
157	7961
158	7926
159	7809
160	7690
161	7648
162	7630
163	7340
164	7275
165	7221
166	7071
167	7121
168	7045
169	7006
170	6881
171	6790
172	6590
173	6735
174	6667
175	6373
176	6384
177	6284
178	6124
179	6267
180	6062
181	6028
182	5923
183	5946
184	5790
185	5749
186	5612
187	5700
188	5611
189	5497
190	5229
191	5405
192	5370
193	5383
194	5301
195	5183
196	5246
197	5431
198	5933
199	5447
200	5266
201	5177
202	5057
203	4785
204	4773
205	4756
206	4643
207	4646
208	4628
209	4376
210	4443
211	4207
212	4200
213	4142
214	4211
215	4196
216	4235
217	3958
218	3986
219	4117
220	4051
221	3859
222	3811
223	3713
224	3828
225	3855
226	3667
227	3855
228	3934
229	3720
230	3615
231	3682
232	3988
233	3902
234	4357
235	5579
236	4834
237	4443
238	4685
239	4746
240	4948
241	6064
242	5287
243	4709
244	4401
245	6304
246	5500
247	5740
248	5022
249	4341
250	4007
251	4620
252	4250
253	3842
254	4353
255	4076
256	3743
257	3817
258	3651
259	3529
260	4134
261	3660
262	3498
263	3244
264	3371
265	3104
266	3108
267	3017
268	2919
269	3408
270	3687
271	3306
272	3131
273	2907
274	2838
275	2723
276	2748
277	2770
278	2721
279	2716
280	2672
281	2709
282	2593
283	2613
284	2574
285	2510
286	2370
287	2423
288	2362
289	2418
290	2397
291	2315
292	2218
293	2323
294	2348
295	2203
296	2224
297	2283
298	2239
299	2207
300	2231
301	2122
302	2172
303	2107
304	2140
305	2088
306	2142
307	2034
308	2083
309	1986
310	2003
311	1986
312	1961
313	1944
314	1947
315	1959
316	1940
317	1875
318	1927
319	1856
320	1911
321	1801
322	1788
323	1846
324	1905
325	1863
326	1844
327	1784
328	1775
329	1695
330	1776
331	1748
332	1762
333	1749
334	1776
335	1682
336	1765
337	1739
338	1666
339	1773
340	1650
341	1634
342	1711
343	1652
344	1703
345	1665
346	1637
347	1615
348	1591
349	1602
350	1712
351	1676
352	1671
353	1604
354	1645
355	1650
356	1555
357	1569
358	1557
359	1612
360	1578
361	1561
362	1510
363	1513
364	1571
365	1552
366	1491
367	1494
368	1555
369	1506
370	1503
371	1534
372	1429
373	1472
374	1401
375	1433
376	1488
377	1421
378	1485
379	1415
380	1468
381	1417
382	1377
383	1419
384	1426
385	1404
386	1349
387	1402
388	1395
389	1335
390	1422
391	1348
392	1409
393	1412
394	1400
395	1315
396	1424
397	1361
398	1338
399	1668
400	1543
401	1405
402	1453
403	1421
404	1413
405	1438
406	1310
407	1329
408	1287
409	1274
410	1363
411	1278
412	1233
413	1285
414	1200
415	1232
416	1230
417	1260
418	1278
419	1282
420	1241
421	1165
422	1171
423	1203
424	1224
425	1245
426	1168
427	1167
428	1209
429	1172
430	1178
431	1187
432	1217
433	1278
434	1193
435	1188
436	1241
437	1256
438	1477
439	1298
440	1250
441	1177
442	1175
443	1326
444	1703
445	1534
446	1323
447	1250
448	1234
449	1316
450	1550
451	1458
452	1200
453	1341
454	1356
455	1347
456	1233
457	1228
458	1297
459	1244
460	1216
461	1204
462	1820
463	1533
464	1307
465	1178
466	1189
467	1128
468	1096
469	1096
470	1122
471	1118
472	1064
473	1067
474	1157
475	1181
476	1569
477	1681
478	1506
479	1765
480	1514
481	1286
482	1266
483	1235
484	1118
485	1299
486	1232
487	1190
488	1222
489	1186
490	1157
491	1032
492	1085
493	1089
494	1047
495	1019
496	989
497	1034
498	975
499	957
500	1021
501	1000
502	1017
503	940
504	971
505	927
506	964
507	929
508	954
509	901
510	920
511	932
512	864
513	913
514	893
515	904
516	859
517	843
518	832
519	849
520	834
521	900
522	839
523	827
524	789
525	844
526	863
527	819
528	879
529	839
530	789
531	779
532	794
533	884
534	801
535	829
536	789
537	871
538	829
539	819
540	757
541	829
542	795
543	777
544	775
545	806
546	792
547	771
548	759
549	787
550	770
551	778
552	746
553	779
554	869
555	758
556	765
557	708
558	734
559	740
560	738
561	734
562	723
563	689
564	716
565	701
566	744
567	706
568	706
569	743
570	724
571	639
572	664
573	664
574	680
575	706
576	693
577	663
578	694
579	680
580	695
581	673
582	651
583	678
584	680
585	679
586	672
587	642
588	688
589	642
590	679
591	640
592	573
593	648
594	683
595	637
596	667
597	653
598	625
599	638
600	646
601	700
602	616
603	596
604	647
605	603
606	637
607	651
608	736
609	644
610	647
611	647
612	628
613	640
614	616
615	673
616	623
617	632
618	613
619	608
620	686
621	636
622	615
623	635
624	633
625	593
626	611
627	664
628	642
629	611
630	643
631	623
632	658
633	628
634	696
635	684
636	645
637	657
638	628
639	627
640	615
641	604
642	638
643	645
644	678
645	598
646	648
647	691
648	597
649	655
650	646
651	643
652	653
653	657
654	705
655	606
656	630
657	632
658	613
659	615
660	632
661	599
662	625
663	616
664	561
665	591
666	582
667	612
668	532
669	582
670	579
671	487
